price,tag_seller,tag_condition,storage_gb,neverlock,loan,installment_loan,guarantee,color_black,color_rose,color_gold,color_silver,color_red,chargin_adapter,wire,box,case,glass,earphones,discount,time_exec_pub,time_seller_reg,y_pred
4099.0,1,0,32,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1697.0,4771.156085492757
3999.0,0,0,32,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,3981.0,4771.156085492757
3000.0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1577.0,4771.156085492757
3969.69,0,0,32,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,3158.0,4771.156085492757
4000.0,1,0,32,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2.0,512.0,4771.156085492757
4999.0,1,0,128,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1.0,2034.0,4771.156085492757
5900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,2155.0,4771.156085492757
4499.0,1,0,32,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,2.0,420.0,4771.156085492757
6450.0,1,0,32,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0.0,573.0,4771.156085492757
3750.0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2704.0,4771.156085492757
21553.54,1,1,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1151.0,4771.156085492757
2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,359.0,4771.156085492757
5700.0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0,3403.0,4771.156085492757
61277.06,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1424.0,4771.156085492757
6000.0,1,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1850.0,4771.156085492757
4662.39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1942.0,4771.156085492757
8000.0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2339.0,4771.156085492757
5300.0,0,0,128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,633.0,4771.156085492757
5300.0,0,0,32,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,3189.0,4771.156085492757
4444.0,0,0,32,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2.0,2643.0,4771.156085492757
15186.05,1,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,786.0,4771.156085492757
4395.96,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1942.0,4771.156085492757
3700.0,1,0,32,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1.0,2369.0,4771.156085492757
6050.0,1,0,32,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2247.0,4771.156085492757
6127.71,1,0,32,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2.0,573.0,4771.156085492757
2800.0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,908.0,4771.156085492757
4999.0,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,908.0,4771.156085492757
8499.0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,908.0,4771.156085492757
3950.0,1,0,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1.0,2916.0,4771.156085492757
19980.0,1,1,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,908.0,4771.156085492757
7799.0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,908.0,4771.156085492757
30345.47,1,1,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1151.0,4771.156085492757
8500.0,0,0,128,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.0,2003.0,4771.156085492757
0.0,0,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,481.0,4771.156085492757
6500.0,0,0,256,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2.0,328.0,4771.156085492757
5000.0,0,0,256,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,2186.0,4771.156085492757
3990.0,1,0,32,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,2063.0,4771.156085492757
7200.0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1029.0,4771.156085492757
5062.02,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2734.0,4771.156085492757
4500.0,0,0,128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2490.0,4771.156085492757
4000.0,1,0,32,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0.0,3434.0,4771.156085492757
4000.0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2.0,267.0,4771.156085492757
9899.0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,908.0,4771.156085492757
5899.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0,3830.0,4771.156085492757
3999.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,3830.0,4771.156085492757
3999.0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,3830.0,4771.156085492757
5300.0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2916.0,4771.156085492757
2500.0,1,0,32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1212.0,4771.156085492757
3500.0,1,0,32,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1.0,1212.0,4771.156085492757
2500.0,1,0,32,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,1212.0,4771.156085492757
5900.0,1,0,32,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,1212.0,4771.156085492757
3300.0,1,0,16,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0,1212.0,4771.156085492757
4000.0,0,0,128,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,2459.0,4771.156085492757
5100.0,1,0,128,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1.0,573.0,4771.156085492757
6500.0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1394.0,4771.156085492757
4500.0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,1789.0,4771.156085492757
3500.0,0,0,128,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,3800.0,4771.156085492757
5900.0,1,0,32,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,1212.0,4771.156085492757
5900.0,1,0,32,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0,1212.0,4771.156085492757
3700.0,1,0,32,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0,1212.0,4771.156085492757
3700.0,1,0,32,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1.0,1212.0,4771.156085492757
2700.0,1,0,16,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2.0,1212.0,4771.156085492757
